0
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                   btoeut          17          17                      524952660                                                  0
                   qfwrqd          17          17                    -1234846400                                                  0
                  ltfayue          26          26                      740715800                                                  0
                   dqhbok          25          25                    -1761798040                                                  0
                    jnqvs          22          22                     -547511000                                                  0
                wccvqpmhh          21          21                     1715543040                                                  0
                enbbymtwm          19          19                     1330296340                                                  0
                   mwdouz          22          22                     -617143080                                                  0
                    vwyem          20          20                     -127282540                                                  0
                   kvkpin          19          19                     1532833980                                                  0
                qiqdybfqo          24          24                    -1863701400                                                  0
                 mmoftoaa          22          22                      425337200                                                  0
                 koqgkcem          18          18                     -595427660                                                  0
                    vizby          18          18                     -142681720                                                  0
                  kebyzev          18          18                     -851667820                                                  0
                    frxqm          20          20                     -679540100                                                  0
                    wbvnm          18          18                     -116356220                                                  0
                  tlljwlk          20          20                     1779367060                                                  0
                    lyggr          23          23                     -467418320                                                  0
                abdfrdjsu          21          21                    -1519620440                                                  0
                 rpurbrnb          17          17                    -1392576180                                                  0
                  orkkoye          24          24                    -1467657520                                                  0
                   uzptqe          23          23                     -616938520                                                  0
                    tysvn          26          26                     -193612360                                                  0
                    zwxls          18          18                        9371260                                                  0
                 ypotgrrn          21          21                     1331854500                                                  0
                 nsjpabaz          19          19                     -738995540                                                  0
                ejjbqinvw          22          22                     1522503640                                                  0
                vknowlbjv          17          17                    -2135348160                                                  0
                   oelpte          25          25                      895200880                                                  0
                ilemxzdwx          20          20                    -1528523700                                                  0
                cfozxskpb          24          24                    -1520305060                                                  0
                   lxrfjq          17          17                    -1627152620                                                  0
                wmezriiyu          21          21                     -765452540                                                  0
                 yegswyla          17          17                      994522620                                                  0
                oteclgxeq          22          22                    -1013852460                                                  0
                    wpcoi          24          24                     -101599060                                                  0
                gyxkmmrhf          21          21                    -1511181140                                                  0
                  yglzjbd          20          20                     1774527460                                                  0
                    rkdin          24          24                     -277932920                                                  0
                   uboadh          21          21                    -1438817820                                                  0
                atemncpug          26          26                     1011205140                                                  0
                   ujgjto          17          17                    -1173935120                                                  0
                    jebwp          24          24                     -557963720                                                  0
                    zthde          25          25                        5485860                                                  0
                  zsnhfuc          19          19                      127245720                                                  0
                    xozgd          24          24                      -67722600                                                  0
                hzjhcnnxq          24          24                     1002954900                                                  0
                    lpatf          21          21                     -477537600                                                  0
                   fntyli          22          22                      268289800                                                  0
                  djmucvu          20          20                    -1709763240                                                  0
                 nqzpoyjn          21          21                     2090056440                                                  0
                glmlcnkkj          25          25                    -2002642080                                                  0
                    hbdic          24          24                     -629556500                                                  0
                    gzjat          18          18                     -637067580                                                  0
                    swsbq          26          26                     -230010000                                                  0
                qdklsaftz          22          22                    -1940213720                                                  0
                    yaoas          19          19                      -49381520                                                  0
                   zawuhc          20          20                     -462028780                                                  0
1
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                    ujufw          18          18                     -175923001                                                  1
                    goiui          18          18                     -649205541                                                  1
                    dsfiy          24          24                     -747427141                                                  1
                   bynohf          19          19                      695041921                                                  1
                 elnxdhyb          19          19                     1009584521                                                  1
                   lpibtn          24          24                    -1910566101                                                  1
                 jufrtzqb          19          19                      421883001                                                  1
                 cirvxbji          22          22                     1057599381                                                  1
                 oihigooh          19          19                     -694060641                                                  1
                   vjqqqn          18          18                     -103388441                                                  1
                  hhgisoe          20          20                    -1544483081                                                  1
                  ocbxpcj          18          18                     -470159661                                                  1
                svkfzoccz          22          22                     1011415961                                                  1
                 twpfngkg          17          17                     -442079721                                                  1
                 ueweqoio          23          23                       39863041                                                  1
                  rnqrqew          21          21                    -1468357421                                                  1
                   mlzwwy          21          21                     -968479541                                                  1
                dsribodse          24          24                     -759101561                                                  1
                    ualgt          18          18                     -186162381                                                  1
                    rqbio          18          18                     -271390401                                                  1
                    maswf          21          21                     -459257861                                                  1
                  thrhkhy          19          19                     2039606381                                                  1
                 gtmnitok          24          24                      441560481                                                  1
                   rtwojz          19          19                      302702181                                                  1
                jiqzhqcro          24          24                     -619604541                                                  1
                tikzwnnuv          25          25                     1689462941                                                  1
                   zefovr          19          19                     -344282941                                                  1
                xuqnuuzzr          21          21                      758538221                                                  1
                   pnhdxe          24          24                    -2037786501                                                  1
                duwbvrdah          24          24                    -2094022921                                                  1
                 vxoriaql          17          17                     1794778441                                                  1
                   qhcbao          19          19                    -1189138041                                                  1
                 pnwvcsfn          26          26                     -505917661                                                  1
                   szcoac          24          24                     1544945921                                                  1
                    gpkxp          17          17                     -648028461                                                  1
                cbidsuxhw          18          18                     1081963401                                                  1
                  pjsvsdi          22          22                     1706518941                                                  1
                tivkzvuul          21          21                     -766491181                                                  1
                   cuzbue          23          23                     1630419241                                                  1
                    kxlwj          25          25                     -502495021                                                  1
                roriialki          21          21                     -731499061                                                  1
                   nllscq          18          18                       75201841                                                  1
                  nywqqes          17          17                     -703834221                                                  1
                lphzqjoej          24          24                      303307921                                                  1
                    mevyx          22          22                     -454739161                                                  1
                  uytigqr          18          18                     1414681661                                                  1
                  zoqpwfp          20          20                      297015381                                                  1
                   fsqiqw          18          18                      435271721                                                  1
                  dacwytx          21          21                     1302913201                                                  1
                 eowbvkcj          20          20                      949994441                                                  1
                gfembzstj          21          21                    -2028934041                                                  1
                akizwxuie          18          18                     -100929061                                                  1
2
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                 ghyrukwc          22          22                     1502955682                                                  2
                 ljzauvdl          20          20                     -765130342                                                  2
                   enmdtq          21          21                     -799441882                                                  2
                   ickqbk          17          17                    -1234931042                                                  2
                  arvebcf          21          21                    -1264291602                                                  2
                   ewemct          19          19                     -500426902                                                  2
                   pjojhg          26          26                     2128410622                                                  2
                  cbpfzxl          17          17                       14841422                                                  2
                    ulpvj          17          17                     -173878382                                                  2
                  sdosyrr          18          18                     -765282682                                                  2
                  wergsew          20          20                    -1410389922                                                  2
                    cwyix          26          26                     -776512802                                                  2
                   crmuku          21          21                     1514243642                                                  2
                 ownbrjth          22          22                     1304810622                                                  2
                ydylacrrl          22          22                     -522853262                                                  2
                hbxrygmta          26          26                    -1807116462                                                  2
                    rbllx          18          18                     -287565062                                                  2
                oaznqiiye          19          19                     -808538202                                                  2
                   gtjnyv          20          20                     1521191642                                                  2
                    mbyyi          26          26                     -457939842                                                  2
                    akyrr          23          23                     -858070462                                                  2
                  cgrgmuy          18          18                     1085244682                                                  2
                 zqamntvb          25          25                     1987793442                                                  2
                cusrpsadz          19          19                     1715290402                                                  2
                linddivxs          25          25                     1364948822                                                  2
                 rcjpjyni          21          21                    -1906520262                                                  2
                khdwwzgdq          17          17                     1116808182                                                  2
                  znlrqpo          24          24                     -931111962                                                  2
                  bleflwo          21          21                    -1131544302                                                  2
                   wdmdlu          21          21                      745991702                                                  2
                kfbilzpru          23          23                     1721531462                                                  2
                   yawwlj          24          24                    -1521231402                                                  2
                   edcuuw          23          23                    -1151561482                                                  2
                    ojvba          24          24                     -380914502                                                  2
                 vxevtfbi          18          18                      -59106322                                                  2
                 raqgjeqj          17          17                     -345540562                                                  2
                  tlmijct          23          23                     1811962842                                                  2
                    cpfkd          24          24                     -784902702                                                  2
                ydpvhviys          22          22                    -1741128342                                                  2
                 ccpxoric          25          25                     -459291662                                                  2
                    qrqki          20          20                     -303922982                                                  2
                  wangjss          23          23                    -1489522182                                                  2
                ftwkmyjqi          26          26                    -2117152162                                                  2
                   rtgwpc          25          25                      285356402                                                  2
                xwmvdtvok          20          20                     1973067542                                                  2
                 kmvsjmpd          20          20                     -435456062                                                  2
                fetopxdys          22          22                     1600411842                                                  2
                 piwbswry          19          19                     2144013022                                                  2
                axzkkwzen          19          19                     1446004542                                                  2
